tick,type,time,control,value,channel,meta,track,program,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,data,tempo,note,velocity
17536,note_off,0,,,0,0,0,,,,,,,,78,64
17600,note_off,64,,,2,0,0,,,,,,,,50,64
17660,note_off,60,,,1,0,0,,,,,,,,69,64
17664,note_on,4,,,0,0,0,,,,,,,,83,75
17664,note_on,0,,,0,0,0,,,,,,,,78,75
17664,note_on,0,,,1,0,0,,,,,,,,71,75
17664,note_on,0,,,2,0,0,,,,,,,,55,75
17792,note_off,128,,,2,0,0,,,,,,,,55,64
17856,note_on,64,,,2,0,0,,,,,,,,55,75
17984,note_off,128,,,2,0,0,,,,,,,,55,64
18048,note_on,64,,,2,0,0,,,,,,,,55,75
18176,note_off,128,,,0,0,0,,,,,,,,78,64
18176,note_off,0,,,2,0,0,,,,,,,,55,64
18240,note_on,64,,,2,0,0,,,,,,,,55,75
18368,note_off,128,,,2,0,0,,,,,,,,55,64
18432,note_on,64,,,0,0,0,,,,,,,,76,75
18432,note_on,0,,,2,0,0,,,,,,,,49,75
18560,note_off,128,,,2,0,0,,,,,,,,49,64
18624,note_on,64,,,2,0,0,,,,,,,,49,75
18752,note_off,128,,,2,0,0,,,,,,,,49,64
18816,note_on,64,,,2,0,0,,,,,,,,49,75
18944,note_off,128,,,0,0,0,,,,,,,,83,64
18944,note_off,0,,,2,0,0,,,,,,,,49,64
19008,note_on,64,,,2,0,0,,,,,,,,49,75
19136,note_off,128,,,2,0,0,,,,,,,,49,64
19196,note_off,60,,,1,0,0,,,,,,,,71,64
19200,note_on,4,,,0,0,0,,,,,,,,81,75
19200,note_on,0,,,1,0,0,,,,,,,,69,75
19200,note_on,0,,,2,0,0,,,,,,,,54,75
19328,note_off,128,,,2,0,0,,,,,,,,54,64
19392,note_on,64,,,2,0,0,,,,,,,,54,75
19460,note_off,68,,,0,0,0,,,,,,,,76,64
19520,note_off,60,,,2,0,0,,,,,,,,54,64
19584,note_on,64,,,2,0,0,,,,,,,,54,75
19712,note_off,128,,,2,0,0,,,,,,,,54,64
19776,note_on,64,,,2,0,0,,,,,,,,54,75
19904,note_off,128,,,2,0,0,,,,,,,,54,64
19968,note_on,64,,,0,0,0,,,,,,,,74,75
19968,note_on,0,,,2,0,0,,,,,,,,47,75
20096,note_off,128,,,2,0,0,,,,,,,,47,64
20160,note_on,64,,,2,0,0,,,,,,,,47,75
20288,note_off,128,,,2,0,0,,,,,,,,47,64
20352,note_on,64,,,2,0,0,,,,,,,,47,75
20480,note_off,128,,,0,0,0,,,,,,,,81,64
20480,note_off,0,,,1,0,0,,,,,,,,69,64
20480,note_off,0,,,2,0,0,,,,,,,,47,64
20544,note_on,64,,,2,0,0,,,,,,,,47,75
20672,note_off,128,,,2,0,0,,,,,,,,47,64
20736,note_on,64,,,0,0,0,,,,,,,,80,75
20736,note_on,0,,,1,0,0,,,,,,,,68,75
20736,note_on,0,,,2,0,0,,,,,,,,52,75
20864,note_off,128,,,2,0,0,,,,,,,,52,64
