tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,data,program,channel,control,value,note,velocity
17520,note_on,,,,,20,0,0,,,,0,,,80,88
17520,note_on,,,,,0,0,0,,,,0,,,72,88
17520,note_on,,,,,0,0,0,,,,0,,,60,88
17536,note_on,,,,,16,0,0,,,,0,,,79,0
17556,note_on,,,,,20,0,0,,,,0,,,71,0
17740,note_on,,,,,184,0,0,,,,0,,,60,0
17740,note_on,,,,,0,0,0,,,,0,,,72,0
17740,note_on,,,,,0,0,0,,,,0,,,80,0
17756,note_on,,,,,16,0,0,,,,0,,,79,88
17756,note_on,,,,,0,0,0,,,,0,,,71,88
17760,note_on,,,,,4,0,0,,,,0,,,67,88
17980,note_on,,,,,220,0,0,,,,0,,,67,0
17996,note_on,,,,,16,0,0,,,,0,,,80,88
17996,note_on,,,,,0,0,0,,,,0,,,72,88
18000,note_on,,,,,4,0,0,,,,0,,,60,88
18012,note_on,,,,,12,0,0,,,,0,,,79,0
18032,note_on,,,,,20,0,0,,,,0,,,71,0
18216,note_on,,,,,184,0,0,,,,0,,,72,0
18216,note_on,,,,,0,0,0,,,,0,,,80,0
18220,note_on,,,,,4,0,0,,,,0,,,60,0
18240,note_on,,,,,20,0,0,,,,0,,,67,88
18248,note_on,,,,,8,0,0,,,,0,,,79,88
18248,note_on,,,,,0,0,0,,,,0,,,71,88
18460,note_on,,,,,212,0,0,,,,0,,,67,0
18480,note_on,,,,,20,0,0,,,,0,,,60,88
18488,note_on,,,,,8,0,0,,,,0,,,80,88
18488,note_on,,,,,0,0,0,,,,0,,,72,88
18504,note_on,,,,,16,0,0,,,,0,,,79,0
18524,note_on,,,,,20,0,0,,,,0,,,71,0
18700,note_on,,,,,176,0,0,,,,0,,,60,0
18708,note_on,,,,,8,0,0,,,,0,,,72,0
18708,note_on,,,,,0,0,0,,,,0,,,80,0
18716,note_on,,,,,8,0,0,,,,0,,,79,88
18716,note_on,,,,,0,0,0,,,,0,,,71,88
18720,note_on,,,,,4,0,0,,,,0,,,67,88
18940,note_on,,,,,220,0,0,,,,0,,,67,0
18956,note_on,,,,,16,0,0,,,,0,,,80,88
18956,note_on,,,,,0,0,0,,,,0,,,72,88
18960,note_on,,,,,4,0,0,,,,0,,,60,88
18972,note_on,,,,,12,0,0,,,,0,,,79,0
18992,note_on,,,,,20,0,0,,,,0,,,71,0
19176,note_on,,,,,184,0,0,,,,0,,,72,0
19176,note_on,,,,,0,0,0,,,,0,,,80,0
19180,note_on,,,,,4,0,0,,,,0,,,60,0
19200,note_on,,,,,20,0,0,,,,0,,,67,88
19204,note_on,,,,,4,0,0,,,,0,,,77,88
19208,note_on,,,,,4,0,0,,,,0,,,74,88
19420,note_on,,,,,212,0,0,,,,0,,,67,0
19424,note_on,,,,,4,0,0,,,,0,,,77,0
19428,note_on,,,,,4,0,0,,,,0,,,74,0
19440,note_on,,,,,12,0,0,,,,0,,,67,88
19444,note_on,,,,,4,0,0,,,,0,,,77,88
19444,note_on,,,,,0,0,0,,,,0,,,74,88
19660,note_on,,,,,216,0,0,,,,0,,,67,0
19680,note_on,,,,,20,0,0,,,,0,,,67,88
19885,note_on,,,,,205,0,0,,,,0,,,74,0
19885,note_on,,,,,0,0,0,,,,0,,,77,0
19900,note_on,,,,,15,0,0,,,,0,,,67,0
19920,note_on,,,,,20,0,0,,,,0,,,76,88
19920,note_on,,,,,0,0,0,,,,0,,,72,88
19920,note_on,,,,,0,0,0,,,,0,,,55,88
20030,note_on,,,,,110,0,0,,,,0,,,72,0
20030,note_on,,,,,0,0,0,,,,0,,,76,0
20040,note_on,,,,,10,0,0,,,,0,,,71,88
20048,note_on,,,,,8,0,0,,,,0,,,74,88
20140,note_on,,,,,92,0,0,,,,0,,,55,0
20150,note_on,,,,,10,0,0,,,,0,,,71,0
20158,note_on,,,,,8,0,0,,,,0,,,74,0
20160,note_on,,,,,2,0,0,,,,0,,,76,88
20160,note_on,,,,,0,0,0,,,,0,,,72,88
20160,note_on,,,,,0,0,0,,,,0,,,48,88
20380,note_on,,,,,220,0,0,,,,0,,,48,0
20380,note_on,,,,,0,0,0,,,,0,,,72,0
20380,note_on,,,,,0,0,0,,,,0,,,76,0
20400,note_on,,,,,20,0,0,,,,0,,,79,88
20400,note_on,,,,,0,0,0,,,,0,,,76,88
20400,note_on,,,,,0,0,0,,,,0,,,60,88
