tick,type,frame_rate,hours,minutes,seconds,frames,sub_frames,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,note,velocity,channel,control,value
11109,note_off,,,,,,,28,0,0,,,,,,,78,64,0,,
11139,note_off,,,,,,,30,0,0,,,,,,,71,64,0,,
11223,note_on,,,,,,,84,0,0,,,,,,,79,93,0,,
11249,note_on,,,,,,,26,0,0,,,,,,,78,88,0,,
11269,note_on,,,,,,,20,0,0,,,,,,,60,44,0,,
11295,note_off,,,,,,,26,0,0,,,,,,,79,64,0,,
11407,note_off,,,,,,,112,0,0,,,,,,,78,64,0,,
11419,note_on,,,,,,,12,0,0,,,,,,,76,60,0,,
11465,note_off,,,,,,,46,0,0,,,,,,,76,64,0,,
11513,note_off,,,,,,,48,0,0,,,,,,,60,64,0,,
11595,note_on,,,,,,,82,0,0,,,,,,,76,57,0,,
11597,note_on,,,,,,,2,0,0,,,,,,,69,38,0,,
11639,note_off,,,,,,,42,0,0,,,,,,,76,64,0,,
11661,note_off,,,,,,,22,0,0,,,,,,,69,64,0,,
11751,note_on,,,,,,,90,0,0,,,,,,,78,81,0,,
11793,note_on,,,,,,,42,0,0,,,,,,,76,79,0,,
11796,note_on,,,,,,,3,0,0,,,,,,,59,48,0,,
11865,note_off,,,,,,,69,0,0,,,,,,,78,64,0,,
11939,note_off,,,,,,,74,0,0,,,,,,,76,64,0,,
11953,note_on,,,,,,,14,0,0,,,,,,,74,66,0,,
11999,note_off,,,,,,,46,0,0,,,,,,,74,64,0,,
12047,note_off,,,,,,,48,0,0,,,,,,,59,64,0,,
12117,note_on,,,,,,,70,0,0,,,,,,,67,49,0,,
12119,note_on,,,,,,,2,0,0,,,,,,,74,59,0,,
12161,note_off,,,,,,,42,0,0,,,,,,,74,64,0,,
12173,note_off,,,,,,,12,0,0,,,,,,,67,64,0,,
12269,note_on,,,,,,,96,0,0,,,,,,,76,71,0,,
12317,note_on,,,,,,,48,0,0,,,,,,,57,56,0,,
12317,note_on,,,,,,,0,0,0,,,,,,,74,78,0,,
12351,note_off,,,,,,,34,0,0,,,,,,,76,64,0,,
12461,note_off,,,,,,,110,0,0,,,,,,,74,64,0,,
12473,note_on,,,,,,,12,0,0,,,,,,,72,58,0,,
12487,note_off,,,,,,,14,0,0,,,,,,,57,64,0,,
12519,note_off,,,,,,,32,0,0,,,,,,,72,64,0,,
12629,note_on,,,,,,,110,0,0,,,,,,,72,47,0,,
12631,note_on,,,,,,,2,0,0,,,,,,,66,44,0,,
12685,note_off,,,,,,,54,0,0,,,,,,,66,64,0,,
12693,note_off,,,,,,,8,0,0,,,,,,,72,64,0,,
12823,note_on,,,,,,,130,0,0,,,,,,,71,82,0,,
12825,note_on,,,,,,,2,0,0,,,,,,,67,69,0,,
12835,note_on,,,,,,,10,0,0,,,,,,,55,68,0,,
12889,note_off,,,,,,,54,0,0,,,,,,,67,64,0,,
12945,note_off,,,,,,,56,0,0,,,,,,,71,64,0,,
12989,note_on,,,,,,,44,0,0,,,,,,,69,62,0,,
12995,note_on,,,,,,,6,0,0,,,,,,,72,65,0,,
13021,note_off,,,,,,,26,0,0,,,,,,,55,64,0,,
13041,note_off,,,,,,,20,0,0,,,,,,,69,64,0,,
13053,note_off,,,,,,,12,0,0,,,,,,,72,64,0,,
13155,note_on,,,,,,,102,0,0,,,,,,,47,68,0,,
13165,note_on,,,,,,,10,0,0,,,,,,,71,83,0,,
13173,note_on,,,,,,,8,0,0,,,,,,,74,64,0,,
13203,note_off,,,,,,,30,0,0,,,,,,,47,64,0,,
13221,note_off,,,,,,,18,0,0,,,,,,,71,64,0,,
13224,note_off,,,,,,,3,0,0,,,,,,,74,64,0,,
13337,note_on,,,,,,,113,0,0,,,,,,,69,57,0,,
13343,note_on,,,,,,,6,0,0,,,,,,,48,71,0,,
13345,note_on,,,,,,,2,0,0,,,,,,,72,61,0,,
13399,note_off,,,,,,,54,0,0,,,,,,,69,64,0,,
13445,note_off,,,,,,,46,0,0,,,,,,,72,64,0,,
13491,note_on,,,,,,,46,0,0,,,,,,,71,70,0,,
13497,note_on,,,,,,,6,0,0,,,,,,,67,57,0,,
13509,note_off,,,,,,,12,0,0,,,,,,,48,64,0,,
13535,note_off,,,,,,,26,0,0,,,,,,,71,64,0,,
13561,note_off,,,,,,,26,0,0,,,,,,,67,64,0,,
13653,note_on,,,,,,,92,0,0,,,,,,,66,60,0,,
13657,note_on,,,,,,,4,0,0,,,,,,,50,75,0,,
13659,note_on,,,,,,,2,0,0,,,,,,,69,47,0,,
13699,note_off,,,,,,,40,0,0,,,,,,,66,64,0,,
13699,note_off,,,,,,,0,0,0,,,,,,,50,64,0,,
13715,note_off,,,,,,,16,0,0,,,,,,,69,64,0,,
13841,note_on,,,,,,,126,0,0,,,,,,,71,88,0,,
13844,note_on,,,,,,,3,0,0,,,,,,,67,62,0,,
13844,note_on,,,,,,,0,0,0,,,,,,,55,79,0,,
13895,note_off,,,,,,,51,0,0,,,,,,,55,64,0,,
14009,note_on,,,,,,,114,0,0,,,,,,,50,75,0,,
