tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,note,velocity,channel
18132,note_off,109,0,0,,,,,,60,127,0
18133,note_on,1,0,0,,,,,,65,127,0
18242,note_off,109,0,0,,,,,,65,127,0
18243,note_on,1,0,0,,,,,,68,127,0
18352,note_off,109,0,0,,,,,,68,127,0
18353,note_on,1,0,0,,,,,,65,127,0
18462,note_off,109,0,0,,,,,,65,127,0
18463,note_on,1,0,0,,,,,,62,127,0
18572,note_off,109,0,0,,,,,,62,127,0
18573,note_on,1,0,0,,,,,,46,127,0
18682,note_off,109,0,0,,,,,,80,127,0
18683,note_on,1,0,0,,,,,,82,127,0
18792,note_off,109,0,0,,,,,,82,127,0
18793,note_on,1,0,0,,,,,,77,127,0
18902,note_off,109,0,0,,,,,,77,127,0
18903,note_on,1,0,0,,,,,,74,127,0
19012,note_off,109,0,0,,,,,,74,127,0
19013,note_on,1,0,0,,,,,,70,127,0
19122,note_off,109,0,0,,,,,,70,127,0
19123,note_on,1,0,0,,,,,,65,127,0
19232,note_off,109,0,0,,,,,,65,127,0
19233,note_on,1,0,0,,,,,,62,127,0
19342,note_off,109,0,0,,,,,,62,127,0
19343,note_on,1,0,0,,,,,,58,127,0
19452,note_off,109,0,0,,,,,,58,127,0
19453,note_on,1,0,0,,,,,,67,127,0
19562,note_off,109,0,0,,,,,,46,127,0
19563,note_on,1,0,0,,,,,,51,127,0
19672,note_off,109,0,0,,,,,,51,127,0
19673,note_on,1,0,0,,,,,,55,127,0
19782,note_off,109,0,0,,,,,,55,127,0
19783,note_on,1,0,0,,,,,,58,127,0
19892,note_off,109,0,0,,,,,,58,127,0
19892,note_off,0,0,0,,,,,,67,127,0
19893,note_on,1,0,0,,,,,,63,127,0
20002,note_off,109,0,0,,,,,,63,127,0
20003,note_on,1,0,0,,,,,,67,127,0
20113,note_on,110,0,0,,,,,,63,127,0
20222,note_off,109,0,0,,,,,,63,127,0
20223,note_on,1,0,0,,,,,,60,127,0
20332,note_off,109,0,0,,,,,,60,127,0
20333,note_on,1,0,0,,,,,,51,127,0
20442,note_off,109,0,0,,,,,,67,127,0
20443,note_on,1,0,0,,,,,,79,127,0
20552,note_off,109,0,0,,,,,,51,127,0
20553,note_on,1,0,0,,,,,,63,127,0
20553,note_on,0,0,0,,,,,,67,127,0
20608,note_off,55,0,0,,,,,,79,127,0
20662,note_off,54,0,0,,,,,,67,127,0
20663,note_on,1,0,0,,,,,,79,127,0
20772,note_off,109,0,0,,,,,,63,127,0
20773,note_on,1,0,0,,,,,,62,127,0
20773,note_on,0,0,0,,,,,,69,127,0
20828,note_off,55,0,0,,,,,,79,127,0
20883,note_on,55,0,0,,,,,,77,127,0
20992,note_off,109,0,0,,,,,,77,127,0
20992,note_off,0,0,0,,,,,,69,127,0
20992,note_off,0,0,0,,,,,,62,127,0
20993,note_on,1,0,0,,,,,,55,127,0
20993,note_on,0,0,0,,,,,,75,127,0
20993,note_on,0,0,0,,,,,,71,127,0
21102,note_off,109,0,0,,,,,,75,127,0
21103,note_on,1,0,0,,,,,,74,127,0
21212,note_off,109,0,0,,,,,,74,127,0
21212,note_off,0,0,0,,,,,,71,127,0
21212,note_off,0,0,0,,,,,,55,127,0
21213,note_on,1,0,0,,,,,,60,127,0
21213,note_on,0,0,0,,,,,,75,127,0
21213,note_on,0,0,0,,,,,,72,127,0
21322,note_off,109,0,0,,,,,,72,127,0
21322,note_off,0,0,0,,,,,,75,127,0
21323,note_on,1,0,0,,,,,,79,127,0
21432,note_off,109,0,0,,,,,,60,127,0
21433,note_on,1,0,0,,,,,,63,127,0
21433,note_on,0,0,0,,,,,,67,127,0
21488,note_off,55,0,0,,,,,,79,127,0
21542,note_off,54,0,0,,,,,,67,127,0
21543,note_on,1,0,0,,,,,,79,127,0
21652,note_off,109,0,0,,,,,,63,127,0
21653,note_on,1,0,0,,,,,,62,127,0
21653,note_on,0,0,0,,,,,,69,127,0
21708,note_off,55,0,0,,,,,,79,127,0
21763,note_on,55,0,0,,,,,,77,127,0
21872,note_off,109,0,0,,,,,,77,127,0
21872,note_off,0,0,0,,,,,,69,127,0
21872,note_off,0,0,0,,,,,,62,127,0
21873,note_on,1,0,0,,,,,,55,127,0
21873,note_on,0,0,0,,,,,,71,127,0
21873,note_on,0,0,0,,,,,,75,127,0
21982,note_off,109,0,0,,,,,,75,127,0
21983,note_on,1,0,0,,,,,,74,127,0
22092,note_off,109,0,0,,,,,,74,127,0
22092,note_off,0,0,0,,,,,,71,127,0
22092,note_off,0,0,0,,,,,,55,127,0
22093,note_on,1,0,0,,,,,,60,127,0
22093,note_on,0,0,0,,,,,,72,127,0
22093,note_on,0,0,0,,,,,,75,127,0
22202,note_off,109,0,0,,,,,,75,127,0
22202,note_off,0,0,0,,,,,,72,127,0
22203,note_on,1,0,0,,,,,,84,127,0
22312,note_off,109,0,0,,,,,,60,127,0
22313,note_on,1,0,0,,,,,,56,127,0
22313,note_on,0,0,0,,,,,,72,127,0
22368,note_off,55,0,0,,,,,,84,127,0
22422,note_off,54,0,0,,,,,,72,127,0
22423,note_on,1,0,0,,,,,,84,127,0
22532,note_off,109,0,0,,,,,,56,127,0
22533,note_on,1,0,0,,,,,,55,127,0
22533,note_on,0,0,0,,,,,,74,127,0
22588,note_off,55,0,0,,,,,,84,127,0
22643,note_on,55,0,0,,,,,,82,127,0
22752,note_off,109,0,0,,,,,,82,127,0
22752,note_off,0,0,0,,,,,,74,127,0
22752,note_off,0,0,0,,,,,,55,127,0
22753,note_on,1,0,0,,,,,,48,127,0
22753,note_on,0,0,0,,,,,,76,127,0
22753,note_on,0,0,0,,,,,,80,127,0
22862,note_off,109,0,0,,,,,,80,127,0
22863,note_on,1,0,0,,,,,,79,127,0
22972,note_off,109,0,0,,,,,,79,127,0
22972,note_off,0,0,0,,,,,,76,127,0
22972,note_off,0,0,0,,,,,,48,127,0
22973,note_on,1,0,0,,,,,,65,127,0
22973,note_on,0,0,0,,,,,,80,127,0
22973,note_on,0,0,0,,,,,,77,127,0
23082,note_off,109,0,0,,,,,,77,127,0
23082,note_off,0,0,0,,,,,,80,127,0
23083,note_on,1,0,0,,,,,,84,127,0
23192,note_off,109,0,0,,,,,,65,127,0
23193,note_on,1,0,0,,,,,,68,127,0
23193,note_on,0,0,0,,,,,,72,127,0
23248,note_off,55,0,0,,,,,,84,127,0
23302,note_off,54,0,0,,,,,,72,127,0
23303,note_on,1,0,0,,,,,,84,127,0
23412,note_off,109,0,0,,,,,,68,127,0
23413,note_on,1,0,0,,,,,,67,127,0
23413,note_on,0,0,0,,,,,,74,127,0
23468,note_off,55,0,0,,,,,,84,127,0
23523,note_on,55,0,0,,,,,,82,127,0
23632,note_off,109,0,0,,,,,,82,127,0
23632,note_off,0,0,0,,,,,,74,127,0
23632,note_off,0,0,0,,,,,,67,127,0
23633,note_on,1,0,0,,,,,,60,127,0
23633,note_on,0,0,0,,,,,,80,127,0
23633,note_on,0,0,0,,,,,,76,127,0
23742,note_off,109,0,0,,,,,,80,127,0
23743,note_on,1,0,0,,,,,,79,127,0
