tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
28506,note_off,,,,,127,0,1,,,0,69,64,,
28530,note_off,,,,,90,0,2,,,0,57,64,,
28555,note_on,,,,,49,0,1,,,0,74,39,,
28555,note_on,,,,,0,0,1,,,0,71,53,,
28560,note_on,,,,,30,0,2,,,0,47,39,,
28596,note_off,,,,,41,0,1,,,0,74,64,,
28599,note_off,,,,,3,0,1,,,0,71,64,,
28650,note_off,,,,,90,0,2,,,0,47,64,,
28680,note_on,,,,,30,0,2,,,0,56,26,,
28770,note_off,,,,,90,0,2,,,0,56,64,,
28830,note_on,,,,,231,0,1,,,0,45,22,,
28831,note_on,,,,,1,0,1,,,0,72,55,,
28947,note_on,,,,,116,0,1,,,0,69,50,,
28962,note_off,,,,,15,0,1,,,0,72,64,,
29034,note_on,,,,,72,0,1,,,0,81,72,,
29036,note_off,,,,,2,0,1,,,0,69,64,,
29057,note_on,,,,,21,0,1,,,0,64,46,,
29153,note_off,,,,,96,0,1,,,0,64,64,,
29153,note_on,,,,,0,0,1,,,0,72,50,,
29275,note_off,,,,,122,0,1,,,0,72,64,,
29279,note_off,,,,,4,0,1,,,0,45,64,,
29279,note_on,,,,,0,0,1,,,0,71,55,,
29288,note_on,,,,,9,0,1,,,0,55,42,,
29413,note_on,,,,,125,0,1,,,0,67,50,,
29415,note_off,,,,,2,0,1,,,0,81,64,,
29438,note_off,,,,,23,0,1,,,0,71,64,,
29496,note_on,,,,,58,0,1,,,0,79,67,,
29516,note_off,,,,,20,0,1,,,0,67,64,,
29531,note_on,,,,,15,0,1,,,0,64,54,,
29627,note_off,,,,,96,0,1,,,0,64,64,,
29635,note_on,,,,,8,0,1,,,0,71,45,,
29765,note_on,,,,,130,0,1,,,0,69,55,,
29765,note_on,,,,,0,0,1,,,0,53,56,,
29774,note_off,,,,,9,0,1,,,0,55,64,,
29785,note_off,,,,,11,0,1,,,0,71,64,,
29880,note_on,,,,,95,0,1,,,0,65,50,,
29922,note_off,,,,,42,0,1,,,0,69,64,,
29988,note_off,,,,,66,0,1,,,0,79,64,,
30006,note_off,,,,,18,0,1,,,0,65,64,,
30011,note_on,,,,,5,0,1,,,0,77,72,,
30014,note_on,,,,,3,0,1,,,0,62,45,,
30118,note_off,,,,,104,0,1,,,0,62,64,,
30125,note_on,,,,,7,0,1,,,0,69,53,,
30248,note_on,,,,,123,0,1,,,0,52,53,,
30248,note_on,,,,,0,0,1,,,0,67,60,,
30257,note_off,,,,,9,0,1,,,0,69,64,,
30262,note_off,,,,,5,0,1,,,0,53,64,,
30308,note_off,,,,,46,0,1,,,0,77,64,,
30369,note_on,,,,,61,0,1,,,0,64,54,,
30394,note_off,,,,,25,0,1,,,0,67,64,,
30478,note_off,,,,,84,0,1,,,0,64,64,,
30483,note_on,,,,,5,0,1,,,0,60,50,,
30534,note_on,,,,,51,0,1,,,0,76,67,,
30600,note_on,,,,,0,0,1,,,0,67,53,,
30600,note_off,,,,,66,0,1,,,0,60,64,,
30725,note_on,,,,,0,0,1,,,0,65,55,,
30725,note_on,,,,,125,0,1,,,0,50,53,,
30732,note_off,,,,,7,0,1,,,0,67,64,,
30745,note_off,,,,,13,0,1,,,0,52,64,,
30750,note_off,,,,,5,0,1,,,0,76,64,,
30839,note_on,,,,,89,0,1,,,0,62,50,,
30860,note_off,,,,,21,0,1,,,0,65,64,,
30954,note_off,,,,,94,0,1,,,0,62,64,,
30962,note_on,,,,,8,0,1,,,0,59,54,,
30999,note_on,,,,,37,0,1,,,0,74,72,,
31074,note_off,,,,,75,0,1,,,0,59,64,,
31075,note_on,,,,,1,0,1,,,0,65,45,,
31194,note_on,,,,,119,0,1,,,0,64,57,,
31202,note_on,,,,,8,0,1,,,0,48,46,,
31207,note_off,,,,,5,0,1,,,0,65,64,,
31212,note_off,,,,,5,0,1,,,0,50,64,,
31251,note_off,,,,,39,0,1,,,0,74,64,,
31320,note_on,,,,,69,0,1,,,0,60,46,,
31371,note_off,,,,,51,0,1,,,0,64,64,,
31427,note_on,,,,,56,0,1,,,0,57,35,,
31435,note_off,,,,,8,0,1,,,0,60,64,,
31477,note_on,,,,,42,0,1,,,0,72,72,,
31540,note_on,,,,,63,0,1,,,0,64,46,,
31561,note_off,,,,,21,0,1,,,0,57,64,,
31665,note_on,,,,,104,0,1,,,0,62,55,,
31672,note_on,,,,,7,0,1,,,0,47,42,,
31685,note_off,,,,,13,0,1,,,0,48,64,,
31710,note_off,,,,,25,0,1,,,0,64,64,,
31737,note_off,,,,,27,0,1,,,0,72,64,,
31799,note_on,,,,,62,0,1,,,0,59,50,,
