tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,key,control,value,channel,program,note,velocity
57220,control_change,20,0,12,,,,,,,7,121,10,,,
57240,control_change,20,0,12,,,,,,,7,123,10,,,
57245,note_off,125,0,1,,,,,,,,,2,,64,96
57245,note_off,125,0,2,,,,,,,,,1,,67,96
57280,note_on,35,0,2,,,,,,,,,1,,64,96
57280,note_on,35,0,1,,,,,,,,,2,,60,96
57280,control_change,160,0,8,,,,,,,7,90,6,,,
57356,note_off,156,0,9,,,,,,,,,7,,77,79
57360,note_on,0,0,3,,,,,,,,,0,,64,100
57360,note_off,0,0,3,,,,,,,,,0,,62,100
57360,control_change,240,0,3,,,,,,,7,95,0,,,
57360,control_change,0,0,6,,,,,,,7,68,11,,,
57360,note_off,200,0,5,,,,,,,,,3,,50,74
57360,note_off,80,0,8,,,,,,,,,6,,74,100
57360,note_on,0,0,8,,,,,,,,,6,,76,100
57360,control_change,80,0,2,,,,,,,7,95,1,,,
