tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity,pitch
58432,control_change,,,,,8,0,12,,,11,59,11,,,,,
58440,control_change,,,,,8,0,12,,,11,58,11,,,,,
58456,control_change,,,,,16,0,12,,,11,57,11,,,,,
58472,control_change,,,,,16,0,12,,,11,56,11,,,,,
58512,note_off,,,,,320,0,3,,,,,2,,,74,0,
58512,note_off,,,,,0,0,3,,,,,2,,,76,0,
58512,note_off,,,,,320,0,11,,,,,10,,,62,0,
58512,note_off,,,,,0,0,11,,,,,10,,,64,0,
58512,control_change,,,,,40,0,12,,,11,55,11,,,,,
58520,control_change,,,,,8,0,12,,,11,56,11,,,,,
58560,control_change,,,,,40,0,12,,,11,57,11,,,,,
58576,control_change,,,,,16,0,12,,,11,58,11,,,,,
58576,note_on,,,,,64,0,11,,,,,10,,,62,24,
58576,note_on,,,,,0,0,11,,,,,10,,,64,14,
58576,note_on,,,,,64,0,3,,,,,2,,,74,24,
58576,note_on,,,,,0,0,3,,,,,2,,,76,14,
58584,control_change,,,,,8,0,12,,,11,59,11,,,,,
58600,control_change,,,,,16,0,12,,,11,60,11,,,,,
58608,control_change,,,,,8,0,12,,,11,61,11,,,,,
58624,control_change,,,,,16,0,12,,,11,62,11,,,,,
58632,control_change,,,,,8,0,12,,,11,63,11,,,,,
58640,control_change,,,,,8,0,12,,,11,64,11,,,,,
58648,control_change,,,,,8,0,12,,,11,65,11,,,,,
58656,control_change,,,,,8,0,12,,,11,66,11,,,,,
58664,control_change,,,,,8,0,12,,,11,67,11,,,,,
58672,control_change,,,,,8,0,12,,,11,68,11,,,,,
58688,control_change,,,,,16,0,12,,,11,69,11,,,,,
58696,control_change,,,,,8,0,12,,,11,70,11,,,,,
58704,control_change,,,,,8,0,12,,,11,71,11,,,,,
58712,control_change,,,,,8,0,12,,,11,72,11,,,,,
58728,control_change,,,,,16,0,12,,,11,73,11,,,,,
58744,control_change,,,,,16,0,12,,,11,74,11,,,,,
58760,control_change,,,,,16,0,12,,,11,75,11,,,,,
58840,control_change,,,,,80,0,12,,,11,74,11,,,,,
58856,control_change,,,,,16,0,12,,,11,73,11,,,,,
58872,control_change,,,,,16,0,12,,,11,72,11,,,,,
58880,control_change,,,,,8,0,12,,,11,71,11,,,,,
