tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
150240,note_on,120,0,1,,,,,,,,,,,,,,,0,,,79,0
150240,note_on,0,0,1,,,,,,,,,,,,,,,0,,,71,0
150240,note_on,0,0,1,,,,,,,,,,,,,,,0,,,71,40
150240,note_on,0,0,1,,,,,,,,,,,,,,,0,,,74,40
150240,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,49
150240,note_on,0,0,1,,,,,,,,,,,,,,,0,,,74,0
150480,set_tempo,720,1,0,,,,,,,,,,,,1278500,,,,,,,
150480,note_on,240,0,2,,,,,,,,,,,,,,,0,,,55,0
150480,note_on,0,0,2,,,,,,,,,,,,,,,0,,,67,33
150600,note_on,120,0,2,,,,,,,,,,,,,,,0,,,67,0
150720,set_tempo,240,1,0,,,,,,,,,,,,1273615,,,,,,,
150734,control_change,134,0,2,,,,,,,,,,,,,,,0,64,0,,
150800,set_tempo,80,1,0,,,,,,,,,,,,1286449,,,,,,,
150840,note_on,106,0,2,,,,,,,,,,,,,,,0,,,31,30
150880,set_tempo,80,1,0,,,,,,,,,,,,1299827,,,,,,,
150900,note_on,60,0,2,,,,,,,,,,,,,,,0,,,31,0
150920,set_tempo,40,1,0,,,,,,,,,,,,1313198,,,,,,,
150960,note_on,60,0,2,,,,,,,,,,,,,,,0,,,33,30
150960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,41
150960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,34
150960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,34
150960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,71,0
150960,note_on,0,0,1,,,,,,,,,,,,,,,0,,,74,0
150960,note_on,720,0,1,,,,,,,,,,,,,,,0,,,79,0
151000,set_tempo,80,1,0,,,,,,,,,,,,1327140,,,,,,,
151020,note_on,60,0,2,,,,,,,,,,,,,,,0,,,33,0
151040,set_tempo,40,1,0,,,,,,,,,,,,1341082,,,,,,,
151080,note_on,60,0,2,,,,,,,,,,,,,,,0,,,35,30
151120,set_tempo,80,1,0,,,,,,,,,,,,1355626,,,,,,,
151140,note_on,60,0,2,,,,,,,,,,,,,,,0,,,35,0
151160,set_tempo,40,1,0,,,,,,,,,,,,1370489,,,,,,,
151200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
151200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,69,0
151200,set_tempo,40,1,0,,,,,,,,,,,,1232792,,,,,,,
151200,note_on,240,0,1,,,,,,,,,,,,,,,0,,,77,0
151200,note_on,60,0,2,,,,,,,,,,,,,,,0,,,36,31
151200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,67,34
151200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,34
151200,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,40
151235,control_change,35,0,2,,,,,,,,,,,,,,,0,64,127,,
151440,note_on,205,0,2,,,,,,,,,,,,,,,0,,,36,0
151440,set_tempo,240,1,0,,,,,,,,,,,,1278500,,,,,,,
151440,note_on,0,0,2,,,,,,,,,,,,,,,0,,,48,27
151680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
151680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,67,0
151680,note_on,0,0,2,,,,,,,,,,,,,,,0,,,60,32
151680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,36
151680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,67,30
151680,note_on,0,0,1,,,,,,,,,,,,,,,0,,,64,30
151680,note_on,480,0,1,,,,,,,,,,,,,,,0,,,76,0
151680,note_on,240,0,2,,,,,,,,,,,,,,,0,,,48,0
151920,note_on,240,0,2,,,,,,,,,,,,,,,0,,,60,0
151920,note_on,240,0,1,,,,,,,,,,,,,,,0,,,84,35
152040,note_on,120,0,1,,,,,,,,,,,,,,,0,,,84,0
