tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
154800,note_on,0,0,2,,,,,,,,,,,,,,,0,,,48,50
154820,note_on,20,0,1,,,,,,,,,,,,,,,0,,,64,0
154890,note_on,0,0,2,,,,,,,,,,,,,,,0,,,36,0
154890,note_on,90,0,2,,,,,,,,,,,,,,,0,,,48,0
154920,note_on,100,0,1,,,,,,,,,,,,,,,0,,,65,47
154940,note_on,20,0,1,,,,,,,,,,,,,,,0,,,77,0
154940,note_on,0,0,1,,,,,,,,,,,,,,,0,,,74,0
155040,note_on,100,0,1,,,,,,,,,,,,,,,0,,,76,53
155040,note_on,0,0,2,,,,,,,,,,,,,,,0,,,47,50
155040,note_on,150,0,2,,,,,,,,,,,,,,,0,,,35,42
155040,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,53
155060,note_on,20,0,1,,,,,,,,,,,,,,,0,,,65,0
155130,note_on,0,0,2,,,,,,,,,,,,,,,0,,,35,0
155130,note_on,90,0,2,,,,,,,,,,,,,,,0,,,47,0
155160,note_on,100,0,1,,,,,,,,,,,,,,,0,,,67,47
155180,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,0
155180,note_on,20,0,1,,,,,,,,,,,,,,,0,,,79,0
155280,note_on,0,0,1,,,,,,,,,,,,,,,0,,,81,53
155280,note_on,100,0,1,,,,,,,,,,,,,,,0,,,77,53
155280,note_on,150,0,2,,,,,,,,,,,,,,,0,,,33,42
155280,note_on,0,0,2,,,,,,,,,,,,,,,0,,,45,50
155300,note_on,20,0,1,,,,,,,,,,,,,,,0,,,67,0
155370,note_on,90,0,2,,,,,,,,,,,,,,,0,,,45,0
155370,note_on,0,0,2,,,,,,,,,,,,,,,0,,,33,0
155400,note_on,100,0,1,,,,,,,,,,,,,,,0,,,69,48
155420,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,0
155420,note_on,20,0,1,,,,,,,,,,,,,,,0,,,81,0
155520,note_on,0,0,1,,,,,,,,,,,,,,,0,,,83,51
155520,note_on,0,0,1,,,,,,,,,,,,,,,0,,,79,51
