tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
17520,note_on,0,0,6,,,,,,,,,10,,,,68,100
17522,control_change,30,0,1,,,,,,,,,0,11,65,,,
17522,note_on,0,0,1,,,,,,,,,0,,,,80,83
17523,control_change,30,0,7,,,,,,,,,11,11,68,,,
17523,note_on,0,0,7,,,,,,,,,11,,,,62,100
17525,note_on,0,0,2,,,,,,,,,1,,,,74,83
17525,note_on,0,0,2,,,,,,,,,1,,,,68,83
17525,control_change,30,0,2,,,,,,,,,1,11,65,,,
17525,note_on,0,0,8,,,,,,,,,12,,,,58,98
17525,control_change,30,0,8,,,,,,,,,12,11,68,,,
17527,control_change,30,0,9,,,,,,,,,13,11,68,,,
17527,note_on,0,0,9,,,,,,,,,13,,,,46,89
17530,control_change,30,0,3,,,,,,,,,3,11,68,,,
17530,note_on,0,0,3,,,,,,,,,3,,,,46,83
17531,note_on,0,0,10,,,,,,,,,14,,,,34,83
17531,control_change,30,0,10,,,,,,,,,14,11,68,,,
17550,control_change,30,0,6,,,,,,,,,10,11,68,,,
17552,control_change,30,0,1,,,,,,,,,0,11,66,,,
17553,control_change,30,0,7,,,,,,,,,11,11,68,,,
17555,control_change,30,0,2,,,,,,,,,1,11,66,,,
17555,control_change,30,0,8,,,,,,,,,12,11,68,,,
17557,control_change,30,0,9,,,,,,,,,13,11,68,,,
17560,control_change,30,0,3,,,,,,,,,3,11,68,,,
17561,control_change,30,0,10,,,,,,,,,14,11,68,,,
17580,note_on,30,0,6,,,,,,,,,10,,,,68,0
17580,control_change,0,0,6,,,,,,,,,10,11,69,,,
17582,control_change,0,0,1,,,,,,,,,0,11,66,,,
17582,note_on,30,0,1,,,,,,,,,0,,,,80,0
17583,note_on,30,0,7,,,,,,,,,11,,,,62,0
17583,control_change,0,0,7,,,,,,,,,11,11,69,,,
17585,control_change,0,0,2,,,,,,,,,1,11,66,,,
17585,note_on,0,0,2,,,,,,,,,1,,,,68,0
17585,note_on,30,0,2,,,,,,,,,1,,,,74,0
17585,note_on,30,0,8,,,,,,,,,12,,,,58,0
17585,control_change,0,0,8,,,,,,,,,12,11,69,,,
17587,note_on,30,0,9,,,,,,,,,13,,,,46,0
17587,control_change,0,0,9,,,,,,,,,13,11,69,,,
17590,control_change,0,0,3,,,,,,,,,3,11,69,,,
17590,note_on,30,0,3,,,,,,,,,3,,,,46,0
17591,control_change,0,0,10,,,,,,,,,14,11,69,,,
17591,note_on,30,0,10,,,,,,,,,14,,,,34,0
17610,control_change,30,0,6,,,,,,,,,10,11,70,,,
17612,control_change,30,0,1,,,,,,,,,0,11,66,,,
