tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
8445,note_on,,,,,0,0,2,,,,,0,,,50,0
8460,note_on,,,,,0,0,2,,,,,0,,,54,95
8460,note_on,,,,,15,0,1,,,,,0,,,59,95
8460,note_on,,,,,0,0,1,,,,,0,,,71,95
8460,note_on,,,,,0,0,2,,,,,0,,,50,95
8460,note_on,,,,,15,0,2,,,,,0,,,47,95
8470,set_tempo,,,,,70,1,0,,351082,,,,,,,
8505,note_on,,,,,0,0,2,,,,,0,,,50,0
8505,note_on,,,,,45,0,2,,,,,0,,,54,0
8505,note_on,,,,,0,0,1,,,,,0,,,59,0
8505,note_on,,,,,45,0,1,,,,,0,,,71,0
8505,note_on,,,,,0,0,2,,,,,0,,,47,0
8520,note_on,,,,,0,0,2,,,,,0,,,54,104
8520,note_on,,,,,15,0,1,,,,,0,,,59,104
8520,note_on,,,,,0,0,1,,,,,0,,,71,104
8520,note_on,,,,,15,0,2,,,,,0,,,47,104
8520,note_on,,,,,0,0,2,,,,,0,,,50,104
8540,set_tempo,,,,,70,1,0,,350058,,,,,,,
8550,set_tempo,,,,,10,1,0,,349040,,,,,,,
8565,note_on,,,,,45,0,2,,,,,0,,,54,0
8565,note_on,,,,,0,0,2,,,,,0,,,50,0
8565,note_on,,,,,0,0,2,,,,,0,,,47,0
8565,note_on,,,,,45,0,1,,,,,0,,,71,0
8565,note_on,,,,,0,0,1,,,,,0,,,59,0
8580,note_on,,,,,0,0,2,,,,,0,,,54,117
8580,note_on,,,,,0,0,1,,,,,0,,,73,117
8580,note_on,,,,,15,0,2,,,,,0,,,47,117
8580,note_on,,,,,15,0,1,,,,,0,,,61,117
8580,set_tempo,,,,,30,1,0,,348027,,,,,,,
