tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
259007,control_change,16,0,8,,,,,,,,,7,11,87,,,
259008,control_change,24,0,11,,,,,,,,,10,11,90,,,
259009,control_change,36,0,1,,,,,,,,,0,11,83,,,
259011,control_change,24,0,12,,,,,,,,,11,11,90,,,
259012,control_change,36,0,2,,,,,,,,,1,11,83,,,
259013,control_change,36,0,3,,,,,,,,,2,11,83,,,
259013,control_change,16,0,9,,,,,,,,,8,11,87,,,
259016,control_change,24,0,13,,,,,,,,,12,11,90,,,
259017,control_change,36,0,4,,,,,,,,,3,11,94,,,
259018,control_change,16,0,7,,,,,,,,,6,11,86,,,
259020,note_on,12,0,11,,,,,,,,,10,,,,71,0
259020,control_change,24,0,14,,,,,,,,,13,11,90,,,
259023,note_on,300,0,5,,,,,,,,,4,,,,67,100
259023,note_on,12,0,12,,,,,,,,,11,,,,67,0
259023,control_change,16,0,8,,,,,,,,,7,11,86,,,
259024,note_on,300,0,6,,,,,,,,,5,,,,55,100
259027,note_on,0,0,8,,,,,,,,,7,,,,64,110
259027,note_on,4,0,8,,,,,,,,,7,,,,59,110
259029,control_change,16,0,9,,,,,,,,,8,11,86,,,
259032,control_change,12,0,11,,,,,,,,,10,11,89,,,
259034,control_change,16,0,7,,,,,,,,,6,11,85,,,
259035,control_change,12,0,12,,,,,,,,,11,11,89,,,
259039,control_change,12,0,8,,,,,,,,,7,11,85,,,
259040,control_change,24,0,13,,,,,,,,,12,11,89,,,
259044,control_change,24,0,14,,,,,,,,,13,11,89,,,
259045,control_change,36,0,1,,,,,,,,,0,11,83,,,
259045,control_change,16,0,9,,,,,,,,,8,11,85,,,
259048,control_change,36,0,2,,,,,,,,,1,11,83,,,
259049,control_change,36,0,3,,,,,,,,,2,11,83,,,
259050,control_change,16,0,7,,,,,,,,,6,11,84,,,
259053,control_change,36,0,4,,,,,,,,,3,11,93,,,
259055,control_change,16,0,8,,,,,,,,,7,11,84,,,
259056,control_change,24,0,11,,,,,,,,,10,11,88,,,
259059,control_change,24,0,12,,,,,,,,,11,11,88,,,
259061,control_change,16,0,9,,,,,,,,,8,11,84,,,
259064,control_change,24,0,13,,,,,,,,,12,11,88,,,
259066,control_change,16,0,7,,,,,,,,,6,11,83,,,
259068,control_change,24,0,14,,,,,,,,,13,11,88,,,
259071,control_change,16,0,8,,,,,,,,,7,11,83,,,
259077,control_change,16,0,9,,,,,,,,,8,11,83,,,
259080,control_change,0,0,11,,,,,,,,,10,11,87,,,
259080,note_on,24,0,11,,,,,,,,,10,,,,76,93
259080,set_tempo,120,1,0,,,,,,330579,,,,,,,,
259081,control_change,36,0,1,,,,,,,,,0,11,82,,,
259082,control_change,16,0,7,,,,,,,,,6,11,82,,,
259083,note_on,0,0,5,,,,,,,,,4,,,,67,100
259083,note_on,60,0,5,,,,,,,,,4,,,,67,0
259083,control_change,24,0,12,,,,,,,,,11,11,87,,,
259083,note_on,0,0,12,,,,,,,,,11,,,,71,93
259084,note_on,60,0,6,,,,,,,,,5,,,,55,0
259084,note_on,0,0,6,,,,,,,,,5,,,,55,100
259084,control_change,36,0,2,,,,,,,,,1,11,82,,,
259085,control_change,36,0,3,,,,,,,,,2,11,82,,,
259087,note_on,16,0,8,,,,,,,,,7,,,,64,0
259087,note_on,0,0,8,,,,,,,,,7,,,,59,110
259087,note_on,0,0,8,,,,,,,,,7,,,,64,110
259087,control_change,0,0,8,,,,,,,,,7,11,82,,,
259087,note_on,0,0,8,,,,,,,,,7,,,,59,0
259088,note_on,24,0,13,,,,,,,,,12,,,,59,0
259088,control_change,0,0,13,,,,,,,,,12,11,87,,,
259088,note_on,0,0,13,,,,,,,,,12,,,,67,0
259089,control_change,36,0,4,,,,,,,,,3,11,92,,,
259092,control_change,0,0,14,,,,,,,,,13,11,87,,,
259092,note_on,24,0,14,,,,,,,,,13,,,,64,0
259093,note_on,16,0,9,,,,,,,,,8,,,,43,0
259093,control_change,0,0,9,,,,,,,,,8,11,82,,,
259094,note_on,240,0,15,,,,,,,,,14,,,,31,0
259095,note_on,240,0,10,,,,,,,,,15,,,,43,0
259104,control_change,24,0,11,,,,,,,,,10,11,87,,,
259107,control_change,24,0,12,,,,,,,,,11,11,87,,,
259112,control_change,24,0,13,,,,,,,,,12,11,87,,,
259116,control_change,24,0,14,,,,,,,,,13,11,87,,,
259117,control_change,36,0,1,,,,,,,,,0,11,81,,,
259120,control_change,36,0,2,,,,,,,,,1,11,81,,,
259121,control_change,36,0,3,,,,,,,,,2,11,81,,,
259125,control_change,36,0,4,,,,,,,,,3,11,91,,,
259128,control_change,24,0,11,,,,,,,,,10,11,86,,,
259131,control_change,24,0,12,,,,,,,,,11,11,86,,,
259136,control_change,24,0,13,,,,,,,,,12,11,86,,,
259140,note_on,12,0,11,,,,,,,,,10,,,,76,0
259140,control_change,24,0,14,,,,,,,,,13,11,86,,,
259143,note_on,12,0,12,,,,,,,,,11,,,,71,0
259152,control_change,12,0,11,,,,,,,,,10,11,85,,,
259153,control_change,36,0,1,,,,,,,,,0,11,80,,,
259155,control_change,12,0,12,,,,,,,,,11,11,85,,,
259156,control_change,36,0,2,,,,,,,,,1,11,80,,,
259157,control_change,36,0,3,,,,,,,,,2,11,80,,,
259160,control_change,24,0,13,,,,,,,,,12,11,85,,,
259161,control_change,36,0,4,,,,,,,,,3,11,90,,,
259164,control_change,24,0,14,,,,,,,,,13,11,85,,,
259176,control_change,24,0,11,,,,,,,,,10,11,84,,,
259179,control_change,24,0,12,,,,,,,,,11,11,84,,,
259184,control_change,24,0,13,,,,,,,,,12,11,84,,,
259188,control_change,24,0,14,,,,,,,,,13,11,84,,,
259189,control_change,36,0,1,,,,,,,,,0,11,80,,,
259192,control_change,36,0,2,,,,,,,,,1,11,80,,,
259193,control_change,36,0,3,,,,,,,,,2,11,80,,,
259197,control_change,36,0,4,,,,,,,,,3,11,89,,,
259200,set_tempo,120,1,0,,,,,,285714,,,,,,,,
259200,note_on,0,0,11,,,,,,,,,10,,,,79,93
259200,note_on,24,0,11,,,,,,,,,10,,,,71,93
259200,control_change,0,0,11,,,,,,,,,10,11,83,,,
259203,note_on,24,0,12,,,,,,,,,11,,,,76,93
259203,control_change,0,0,12,,,,,,,,,11,11,83,,,
259203,note_on,0,0,5,,,,,,,,,4,,,,67,100
259203,note_on,120,0,5,,,,,,,,,4,,,,67,0
259204,note_on,120,0,6,,,,,,,,,5,,,,55,0
259204,note_on,0,0,6,,,,,,,,,5,,,,55,100
259207,note_on,0,0,8,,,,,,,,,7,,,,59,0
259207,note_on,0,0,8,,,,,,,,,7,,,,59,110
259207,note_on,120,0,8,,,,,,,,,7,,,,64,0
259207,note_on,0,0,8,,,,,,,,,7,,,,64,110
259208,note_on,24,0,13,,,,,,,,,12,,,,59,112
259208,control_change,0,0,13,,,,,,,,,12,11,83,,,
259212,control_change,24,0,14,,,,,,,,,13,11,83,,,
259212,note_on,0,0,14,,,,,,,,,13,,,,55,112
259225,control_change,36,0,1,,,,,,,,,0,11,79,,,
259228,control_change,36,0,2,,,,,,,,,1,11,79,,,
259229,control_change,36,0,3,,,,,,,,,2,11,79,,,
259233,control_change,36,0,4,,,,,,,,,3,11,88,,,
259261,control_change,36,0,1,,,,,,,,,0,11,78,,,
259264,control_change,36,0,2,,,,,,,,,1,11,78,,,
259265,control_change,36,0,3,,,,,,,,,2,11,78,,,
259268,note_on,60,0,13,,,,,,,,,12,,,,59,0
259269,control_change,36,0,4,,,,,,,,,3,11,87,,,
259272,note_on,60,0,14,,,,,,,,,13,,,,55,0
259297,control_change,36,0,1,,,,,,,,,0,11,77,,,
259300,control_change,36,0,2,,,,,,,,,1,11,77,,,
259301,control_change,36,0,3,,,,,,,,,2,11,77,,,
259305,control_change,36,0,4,,,,,,,,,3,11,86,,,
259320,set_tempo,120,1,0,,,,,,300000,,,,,,,,
259328,note_on,60,0,13,,,,,,,,,12,,,,64,112
259332,note_on,60,0,14,,,,,,,,,13,,,,59,112
259333,control_change,36,0,1,,,,,,,,,0,11,76,,,
259336,control_change,36,0,2,,,,,,,,,1,11,76,,,
259337,control_change,36,0,3,,,,,,,,,2,11,76,,,
259341,control_change,36,0,4,,,,,,,,,3,11,85,,,
259369,control_change,36,0,1,,,,,,,,,0,11,76,,,
259372,control_change,36,0,2,,,,,,,,,1,11,76,,,
259373,control_change,36,0,3,,,,,,,,,2,11,76,,,
259377,control_change,36,0,4,,,,,,,,,3,11,84,,,
259382,note_on,0,0,7,,,,,,,,,6,,,,67,112
259382,note_on,0,0,7,,,,,,,,,6,,,,55,112
259382,note_on,0,0,7,,,,,,,,,6,,,,67,0
259382,note_on,300,0,7,,,,,,,,,6,,,,55,0
259388,note_on,60,0,13,,,,,,,,,12,,,,64,0
259392,note_on,60,0,14,,,,,,,,,13,,,,59,0
259393,note_on,300,0,9,,,,,,,,,8,,,,43,110
259393,control_change,0,0,9,,,,,,,,,8,11,87,,,
259394,note_on,300,0,15,,,,,,,,,14,,,,31,112
259395,note_on,300,0,10,,,,,,,,,15,,,,43,87
259405,control_change,36,0,1,,,,,,,,,0,11,75,,,
259408,control_change,36,0,2,,,,,,,,,1,11,75,,,
259409,control_change,36,0,3,,,,,,,,,2,11,75,,,
259413,control_change,36,0,4,,,,,,,,,3,11,83,,,
259417,control_change,24,0,9,,,,,,,,,8,11,89,,,
259440,note_on,0,0,11,,,,,,,,,10,,,,71,0
259440,set_tempo,120,1,0,,,,,,330579,,,,,,,,
259440,note_on,240,0,11,,,,,,,,,10,,,,79,0
259441,note_on,0,0,1,,,,,,,,,0,,,,89,101
259441,note_on,0,0,1,,,,,,,,,0,,,,91,0
259441,note_on,36,0,1,,,,,,,,,0,,,,88,0
259441,control_change,24,0,9,,,,,,,,,8,11,91,,,
259441,note_on,0,0,1,,,,,,,,,0,,,,86,101
259441,control_change,0,0,1,,,,,,,,,0,11,74,,,
259442,note_on,0,0,7,,,,,,,,,6,,,,55,112
259442,note_on,0,0,7,,,,,,,,,6,,,,67,112
259442,note_on,60,0,7,,,,,,,,,6,,,,67,0
