tick,type,time,meta,track,tempo,note,velocity,channel
4770,note_on,15,0,2,,91,64,0
4785,note_off,15,0,2,,91,64,0
4800,note_on,15,0,2,,91,64,0
4800,note_on,0,0,1,,64,64,0
4800,note_on,0,0,1,,67,64,0
4800,note_off,0,0,1,,71,64,0
4800,note_on,0,0,1,,72,64,0
4800,note_off,60,0,1,,65,64,0
4830,note_off,30,0,2,,91,64,0
4830,note_on,0,0,2,,79,64,0
4860,note_off,30,0,2,,79,64,0
4860,note_on,0,0,2,,81,64,0
4890,note_off,30,0,2,,81,64,0
4890,note_on,0,0,2,,82,64,0
4920,note_off,30,0,2,,82,64,0
4920,note_on,0,0,1,,69,64,0
4920,note_on,0,0,2,,81,64,0
4920,note_on,0,0,1,,64,64,0
4920,note_off,0,0,1,,72,64,0
4920,note_off,0,0,1,,67,64,0
4920,note_off,120,0,1,,64,64,0
4920,note_on,0,0,1,,73,64,0
4950,note_off,30,0,2,,81,64,0
4950,note_on,0,0,2,,80,64,0
4980,note_on,0,0,1,,73,64,0
4980,note_on,0,0,1,,70,64,0
4980,note_off,30,0,2,,80,64,0
4980,note_off,0,0,1,,73,64,0
4980,note_off,0,0,1,,69,64,0
4980,note_off,60,0,1,,64,64,0
4980,note_on,0,0,2,,79,64,0
4980,note_on,0,0,1,,64,64,0
5010,note_off,30,0,2,,79,64,0
5010,note_on,0,0,2,,76,64,0
5040,note_off,30,0,2,,76,64,0
5040,note_on,0,0,2,,74,64,0
5040,note_on,0,0,1,,74,64,0
5040,note_on,0,0,1,,69,64,0
5040,note_on,0,0,1,,66,64,0
5040,note_off,0,0,1,,73,64,0
5040,note_off,0,0,1,,70,64,0
5040,note_off,60,0,1,,64,64,0
5070,note_on,0,0,2,,81,64,0
5070,note_off,30,0,2,,74,64,0
5100,note_on,0,0,2,,86,64,0
5100,note_off,30,0,2,,81,64,0
5130,note_on,0,0,2,,84,64,0
5130,note_off,30,0,2,,86,64,0
5160,note_on,0,0,1,,65,64,0
5160,note_on,0,0,1,,75,64,0
5160,note_off,0,0,1,,74,64,0
5160,note_on,0,0,1,,71,64,0
5160,note_off,30,0,2,,84,64,0
5160,note_off,0,0,1,,69,64,0
5160,note_on,0,0,2,,84,64,0
5160,note_off,120,0,1,,66,64,0
5190,note_on,0,0,2,,83,64,0
5190,note_off,30,0,2,,84,64,0
5220,note_off,30,0,2,,83,64,0
5220,note_on,0,0,2,,83,64,0
5220,note_off,0,0,1,,71,64,0
5220,note_off,0,0,1,,75,64,0
5220,note_off,60,0,1,,65,64,0
5220,note_on,0,0,1,,74,64,0
5220,note_on,0,0,1,,72,64,0
5220,note_on,0,0,1,,65,64,0
5250,note_on,0,0,2,,81,64,0
5250,note_off,30,0,2,,83,64,0
5280,note_on,0,0,1,,76,64,0
5280,note_on,0,0,1,,64,64,0
5280,note_off,0,0,1,,74,64,0
5280,note_off,0,0,1,,72,64,0
5280,note_off,60,0,1,,65,64,0
5280,note_on,0,0,1,,69,64,0
5280,note_off,30,0,2,,81,64,0
5280,note_on,0,0,2,,81,64,0
5280,note_on,0,0,1,,72,64,0
5310,note_on,0,0,2,,96,64,0
5310,note_off,30,0,2,,81,64,0
5340,note_on,0,0,2,,95,64,0
5340,note_off,30,0,2,,96,64,0
5370,note_on,0,0,2,,93,64,0
5370,note_off,30,0,2,,95,64,0
5400,note_off,0,0,1,,76,64,0
5400,note_off,0,0,1,,69,64,0
5400,note_off,0,0,1,,72,64,0
5400,note_on,0,0,1,,71,64,0
5400,note_on,0,0,1,,74,64,0
5400,note_on,0,0,1,,77,64,0
5400,note_on,0,0,2,,92,64,0
5400,note_off,30,0,2,,93,64,0
5400,note_off,120,0,1,,64,64,0
5400,note_on,0,0,1,,62,64,0
5430,note_on,0,0,2,,89,64,0
5430,note_off,30,0,2,,92,64,0
5460,note_off,60,0,1,,62,64,0
5460,note_off,0,0,1,,77,64,0
5460,note_on,0,0,1,,64,64,0
5460,note_on,0,0,1,,76,64,0
5460,note_on,0,0,2,,86,64,0
5460,note_off,30,0,2,,89,64,0
5490,note_on,0,0,2,,83,64,0
5490,note_off,30,0,2,,86,64,0
5520,note_off,60,0,1,,71,64,0
5520,note_on,0,0,2,,81,64,0
5520,note_off,30,0,2,,83,64,0
5520,note_off,0,0,1,,74,64,0
5520,note_off,0,0,1,,64,64,0
5520,note_off,0,0,1,,76,64,0
5520,note_on,0,0,1,,69,64,0
5520,note_on,0,0,1,,72,64,0
5520,note_on,0,0,1,,76,64,0
5550,note_on,0,0,2,,83,64,0
5550,note_off,30,0,2,,81,64,0
5580,note_off,30,0,2,,83,64,0
5580,note_on,0,0,2,,84,64,0
5610,note_on,0,0,2,,80,64,0
5610,note_off,30,0,2,,84,64,0
5640,note_off,30,0,2,,80,64,0
5640,note_off,120,0,1,,69,64,0
5640,note_off,0,0,1,,72,64,0
5640,note_on,0,0,2,,81,64,0
5640,note_off,0,0,1,,76,64,0
5670,note_on,0,0,2,,76,64,0
5670,note_off,30,0,2,,81,64,0
5700,note_on,0,0,2,,72,64,0
5700,note_off,30,0,2,,76,64,0
5730,note_off,30,0,2,,72,64,0
5730,note_on,0,0,2,,69,64,0
5760,note_on,120,0,1,,57,64,0
5760,note_on,0,0,2,,69,64,0
5760,note_off,30,0,2,,69,64,0
5760,note_on,0,0,1,,61,64,0
5790,note_on,0,0,2,,76,64,0
5790,note_off,30,0,2,,69,64,0
5820,note_on,0,0,2,,73,64,0
5820,note_off,30,0,2,,76,64,0
5850,note_on,0,0,2,,69,64,0
5850,note_off,30,0,2,,73,64,0
5880,note_on,0,0,1,,59,64,0
5880,note_off,0,0,1,,61,64,0
5880,note_off,120,0,1,,57,64,0
5880,note_on,0,0,2,,68,64,0
5880,note_on,0,0,1,,62,64,0
5880,note_off,30,0,2,,69,64,0
5910,note_on,0,0,2,,77,64,0
5910,note_off,30,0,2,,68,64,0
5910,note_off,0,0,1,,62,64,0
5910,note_off,30,0,1,,59,64,0
5940,note_on,30,0,1,,61,64,0
5940,note_on,0,0,1,,64,64,0
5940,note_off,30,0,2,,77,64,0
5940,note_on,0,0,2,,67,64,0
5970,note_off,30,0,2,,67,64,0
5970,note_on,0,0,2,,81,64,0
5970,note_off,30,0,1,,61,64,0
5970,note_off,0,0,1,,64,64,0
6000,note_on,0,0,2,,65,64,0
6000,note_on,0,0,1,,65,64,0
6000,note_on,30,0,1,,62,64,0
6000,note_off,30,0,2,,81,64,0
6030,note_off,30,0,2,,65,64,0
6030,note_on,0,0,2,,81,64,0
6060,note_off,30,0,2,,81,64,0
6060,note_on,0,0,2,,80,64,0
6090,note_off,30,0,2,,80,64,0
6090,note_on,0,0,2,,81,64,0
6120,note_on,0,0,1,,60,64,0
6120,note_on,0,0,1,,64,64,0
6120,note_off,0,0,1,,65,64,0
6120,note_off,120,0,1,,62,64,0
6120,note_off,30,0,2,,81,64,0
6120,note_on,0,0,2,,82,64,0
6150,note_on,0,0,2,,90,64,0
6150,note_off,30,0,2,,82,64,0
6180,note_on,0,0,2,,90,64,0
6180,note_off,30,0,2,,90,64,0
6195,note_off,15,0,2,,90,64,0
6210,note_on,15,0,2,,90,64,0
6225,note_off,15,0,2,,90,64,0
6240,note_on,15,0,2,,71,64,0
6240,note_off,120,0,1,,60,64,0
6240,note_off,0,0,1,,64,64,0
6240,note_on,0,0,1,,59,64,0
6240,note_on,0,0,1,,63,64,0
6270,note_on,0,0,2,,78,64,0
